mode,pipeline,position,left,right,base_input_kind,input_kind,prefix,oracle_safe,accepted,validator_evidence,oracle_evidence
runtime,uint8_photo,1,random_equalize,random_autocontrast,uint8,uint8,random_posterize,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
runtime,foreign_rng,0,python_gamma,numpy_offset,float,float,,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
runtime,foreign_rng,1,numpy_offset,hflip,float,float,python_gamma,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
runtime,foreign_rng,2,hflip,fixed_blur,float,float,python_gamma>numpy_offset,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
runtime,hidden_state,0,stateful_offset,resize,float,float,,False,False,stateful_offset:stateful_or_unknown,manual_unsafe_hidden_or_external_state
runtime,hidden_state,1,resize,hflip,float,float,stateful_offset,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
runtime,hidden_state,2,hflip,normalize,float,float,stateful_offset>resize,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
runtime,external_state,0,external_env,center_crop,float,float,,False,True,no_counterexample_in_8_trials,manual_unsafe_hidden_or_external_state
runtime,external_state,1,center_crop,color_jitter,float,float,external_env,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
runtime,external_state,2,color_jitter,random_erasing,float,float,external_env>center_crop,False,False,trial=2:value_or_signature_mismatch,trial=1001:value_or_signature_mismatch
hybrid,classification_a,0,resize,fixed_blur,float,float,,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
hybrid,classification_a,1,fixed_blur,hflip,float,float,resize,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
hybrid,classification_a,2,hflip,color_jitter,float,float,resize>fixed_blur,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
hybrid,classification_a,3,color_jitter,normalize,float,float,resize>fixed_blur>hflip,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
hybrid,classification_b,0,pad,random_crop,float,float,,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
hybrid,classification_b,1,random_crop,random_resized_crop,float,float,pad,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
hybrid,classification_b,2,random_resized_crop,vflip,float,float,pad>random_crop,False,False,trial=2:value_or_signature_mismatch,trial=1003:value_or_signature_mismatch
hybrid,classification_b,3,vflip,random_solarize,float,float,pad>random_crop>random_resized_crop,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
hybrid,classification_b,4,random_solarize,normalize,float,float,pad>random_crop>random_resized_crop>vflip,False,False,trial=0:value_or_signature_mismatch,trial=1002:value_or_signature_mismatch
hybrid,geometry,0,center_crop,resize,float,float,,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
hybrid,geometry,1,resize,random_rotation,float,float,center_crop,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
hybrid,geometry,2,random_rotation,random_sharpness,float,float,center_crop>resize,False,False,trial=0:value_or_signature_mismatch,trial=1002:value_or_signature_mismatch
hybrid,geometry,3,random_sharpness,variable_blur,float,float,center_crop>resize>random_rotation,False,False,trial=0:value_or_signature_mismatch,trial=1002:value_or_signature_mismatch
hybrid,geometry,4,variable_blur,normalize,float,float,center_crop>resize>random_rotation>random_sharpness,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
hybrid,equivariant,0,identity,hflip,float,float,,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
hybrid,equivariant,1,hflip,vflip,float,float,identity,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
hybrid,equivariant,2,vflip,random_grayscale,float,float,identity>hflip,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
hybrid,equivariant,3,random_grayscale,random_invert,float,float,identity>hflip>vflip,False,False,trial=0:value_or_signature_mismatch,trial=1001:value_or_signature_mismatch
hybrid,equivariant,4,random_invert,rgb,float,float,identity>hflip>vflip>random_grayscale,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
hybrid,warps,0,random_affine,random_perspective,float,float,,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
hybrid,warps,1,random_perspective,resize,float,float,random_affine,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
hybrid,warps,2,resize,color_jitter,float,float,random_affine>random_perspective,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
hybrid,warps,3,color_jitter,normalize,float,float,random_affine>random_perspective>resize,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
hybrid,dtype_boundary,0,to_float,normalize,uint8,uint8,,False,False,trial=0:exception:TypeError,trial=1000:exception:TypeError
hybrid,dtype_boundary,1,normalize,hflip,uint8,float,to_float,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
hybrid,dtype_boundary,2,hflip,color_jitter,uint8,float,to_float>normalize,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
hybrid,uint8_photo,0,random_posterize,random_equalize,uint8,uint8,,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
hybrid,uint8_photo,1,random_equalize,random_autocontrast,uint8,uint8,random_posterize,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
hybrid,foreign_rng,0,python_gamma,numpy_offset,float,float,,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
hybrid,foreign_rng,1,numpy_offset,hflip,float,float,python_gamma,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
hybrid,foreign_rng,2,hflip,fixed_blur,float,float,python_gamma>numpy_offset,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
hybrid,hidden_state,0,stateful_offset,resize,float,float,,False,False,stateful_offset:stateful_or_unknown,manual_unsafe_hidden_or_external_state
hybrid,hidden_state,1,resize,hflip,float,float,stateful_offset,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
hybrid,hidden_state,2,hflip,normalize,float,float,stateful_offset>resize,True,True,no_counterexample_in_8_trials,no_counterexample_in_48_trials
hybrid,external_state,0,external_env,center_crop,float,float,,False,False,external_env:stateful_or_unknown,manual_unsafe_hidden_or_external_state
hybrid,external_state,1,center_crop,color_jitter,float,float,external_env,False,False,trial=0:value_or_signature_mismatch,trial=1000:value_or_signature_mismatch
hybrid,external_state,2,color_jitter,random_erasing,float,float,external_env>center_crop,False,False,trial=2:value_or_signature_mismatch,trial=1001:value_or_signature_mismatch
