mode,operator,registered,input_kind,truth_output_random,truth_rng_sources,truth_changes_shape,truth_changes_dtype,truth_stateful,truth_scope,predicted_output_random,predicted_rng_sources,predicted_changes_shape,predicted_changes_dtype,predicted_stateful,predicted_scope,runtime_successes,runtime_failures,runtime_replayable
hybrid,random_crop,True,float,True,torch,True,False,False,per_sample,True,torch,True,False,False,per_sample,8,0,True
hybrid,random_resized_crop,False,float,True,torch,True,False,False,per_sample,True,torch,True,False,False,per_sample,8,0,True
hybrid,color_jitter,True,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
hybrid,random_grayscale,False,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
hybrid,random_solarize,False,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
hybrid,random_posterize,False,uint8,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
hybrid,random_sharpness,False,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
hybrid,random_autocontrast,False,uint8,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
hybrid,random_equalize,False,uint8,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
hybrid,random_invert,False,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
hybrid,random_rotation,False,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
hybrid,random_affine,False,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
hybrid,random_perspective,False,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
hybrid,random_erasing,False,float,True,torch,False,False,False,per_sample,True,torch,False,False,False,per_sample,8,0,True
hybrid,python_gamma,False,float,True,python,False,False,False,per_sample,True,python,False,False,False,per_sample,8,0,True
hybrid,numpy_offset,False,float,True,numpy,False,False,False,per_sample,True,numpy,False,False,False,per_sample,8,0,True
hybrid,stateful_offset,False,float,False,none,False,False,True,cross_sample,False,none,False,False,True,cross_sample,8,0,False
hybrid,external_env,False,float,False,none,False,False,True,unknown,False,none,False,False,True,unknown,8,0,True
