window,phase,policy,remote,local,batch_ms,cost_units,reconfigured
36,steady,one_shot_stable,0,8,571.5815707931877,2835.044591134211,0
36,steady,change_aware,0,8,571.5815707931877,2835.044591134211,0
36,steady,phase_oracle,0,8,571.5815707931877,2835.044591134211,0
37,steady,one_shot_stable,0,8,579.8974442812299,2876.2913236349004,0
37,steady,change_aware,0,8,579.8974442812299,2876.2913236349004,0
37,steady,phase_oracle,0,8,579.8974442812299,2876.2913236349004,0
38,steady,one_shot_stable,0,8,587.8943991266246,2915.956219668058,0
38,steady,change_aware,0,8,587.8943991266246,2915.956219668058,0
38,steady,phase_oracle,0,8,587.8943991266246,2915.956219668058,0
39,steady,one_shot_stable,0,8,584.0671754420464,2896.97319019255,0
39,steady,change_aware,0,8,584.0671754420464,2896.97319019255,0
39,steady,phase_oracle,0,8,584.0671754420464,2896.97319019255,0
40,steady,one_shot_stable,0,8,585.3603597792167,2903.3873845049147,0
40,steady,change_aware,0,8,585.3603597792167,2903.3873845049147,0
40,steady,phase_oracle,0,8,585.3603597792167,2903.3873845049147,0
41,steady,one_shot_stable,0,8,586.2221334818585,2907.661782070018,0
41,steady,change_aware,0,8,586.2221334818585,2907.661782070018,0
41,steady,phase_oracle,0,8,586.2221334818585,2907.661782070018,0
42,steady,one_shot_stable,0,8,585.889442010279,2906.011632370984,0
42,steady,change_aware,0,8,585.889442010279,2906.011632370984,0
42,steady,phase_oracle,0,8,585.889442010279,2906.011632370984,0
43,steady,one_shot_stable,0,8,589.3147564192191,2923.0011918393266,0
43,steady,change_aware,0,8,589.3147564192191,2923.0011918393266,0
43,steady,phase_oracle,0,8,589.3147564192191,2923.0011918393266,0
44,steady,one_shot_stable,0,8,585.8049107017318,2905.59235708059,0
44,steady,change_aware,0,8,585.8049107017318,2905.59235708059,0
44,steady,phase_oracle,0,8,585.8049107017318,2905.59235708059,0
45,steady,one_shot_stable,0,8,580.3761598805971,2878.665753007762,0
45,steady,change_aware,0,8,580.3761598805971,2878.665753007762,0
45,steady,phase_oracle,0,8,580.3761598805971,2878.665753007762,0
46,steady,one_shot_stable,0,8,574.8810001549004,2851.409760768306,0
46,steady,change_aware,0,8,574.8810001549004,2851.409760768306,0
46,steady,phase_oracle,0,8,574.8810001549004,2851.409760768306,0
47,steady,one_shot_stable,0,8,588.0911291353107,2916.932000511141,0
47,steady,change_aware,0,8,588.0911291353107,2916.932000511141,0
47,steady,phase_oracle,0,8,588.0911291353107,2916.932000511141,0
48,steady,one_shot_stable,0,8,590.8471622590828,2930.6019248050507,0
48,steady,change_aware,0,8,590.8471622590828,2930.6019248050507,0
48,steady,phase_oracle,0,8,590.8471622590828,2930.6019248050507,0
49,steady,one_shot_stable,0,8,582.632685827361,2889.8581217037104,0
49,steady,change_aware,0,8,582.632685827361,2889.8581217037104,0
